Program Name,Provider Contact Date,Telephone/Email,Neighbourhood,Vacancies
Happy House In Home Muti-Age Child Care,April 8,604-803-8325,Sunset,1 spot for under 36 months and 1 spot for over 36 months
Little Stars Child Care on East 58th,April 7,778-829-9650,Sunset,Spots available for infant/toddler
Cats in the Cradle (RLNR),April 7,778-316-2020,West End,Waitlist currently open accepting 6-20 months old
Langara Stars Muti-Age Daycare (Group Centre),March 31,778-865-4842,Oakridge,2 spots available for under 3 years old
Arbutus Child Care & Fine Art Learning Centre,February 23,604-223-5888,Arbutus Ridge,"2 spots for infant room under 1.5 years old; 4 spots available for toddler room 1.5 to 3 years old"
Maple House Academy (Group Child Care for under 3),February 12,604-275-6666,Dunbar-Southlands,Spots available for 8 months to 1.5 years from March to June 2026
The Big Play House (Infant/Toddler Program),February 5,604-690-0439,Sunset,"6 full time spots available for 6 months and over in September; *249 E 57th Ave* location"
